"inquisit.version","computer.platform","startdate","starttime","subjectid","groupid","sessionid","elapsedtime","completed","exp_condition","releasecondition","weathercondition","maxnr_fishinpond","maxnr_trips","fixedsampling","reward","total_winnings","lstotalearnings","tripcount","successtrip","totalfishingcount","lstotalfishingcount","adj_totalfishingcount","total_suddenends","lstotalend","avg_fishingcount","adjavg_fishingcount","mean_castlatency"
"6.6.1","win","2023-09-07","13:34:21","R_1LqDsozFuxO7aFY","979721732","1","122919","1","1","1","1","32","10","0","5","380","/100/0/100/0/0/0/0/75/105/0","10","4","150","/20/12/20/12/18/2/13/15/21/17","76","6","/0/1/0/1/1/1/1/0/0/1","15","19","4528.1764705882351336186"
"6.6.1","win","2023-09-07","12:36:15","R_2ANlqvOD8tBWJqC","979721748","1","68612","1","1","1","1","32","10","0","5","520","/0/0/0/120/80/80/80/80/80/0","10","6","160","/10/19/24/24/16/16/16/16/16/3","104","4","/1/1/1/0/0/0/0/0/0/1","16","17.3333333333333321491","13646.6666666666660603369"
"6.6.1","win","2023-09-07","13:34:31","R_3fYSNgsyQ4mnybz","979721726","1","171019","1","1","1","1","32","10","0","5","440","/110/110/0/0/60/0/50/110/0/0","10","5","147","/22/22/13/12/12/10/10/22/2/22","88","5","/0/0/1/1/0/1/0/0/1/1","14.6999999999999992895","17.6000000000000014211","5759.5454545454549588612"
"6.6.1","win","2023-09-07","12:33:57","R_21nPvCQm51nRU5B","979721718","1","213814","1","1","1","1","32","10","0","5","180","/15/30/15/30/15/15/0/30/15/15","10","9","37","/3/6/3/6/3/3/1/6/3/3","36","1","/0/0/0/0/0/0/1/0/0/0","3.7000000000000001776","4","29474.3333333333321206737"
"6.6.1","mac","2023-09-07","13:37:09","R_rdRWbChLo8ictfH","979721752","1","33804","1","1","1","1","32","10","0","5","200","/20/35/0/20/25/0/70/0/0/30","10","6","55","/4/7/6/4/5/1/14/5/3/6","40","4","/0/0/1/0/0/1/0/1/1/0","5.5","6.6666666666666669627","2659.8333333333334849158"
"6.6.1","win","2023-09-07","13:36:46","R_vuFgEjNL0xQHSCJ","979721749","1","58449","1","1","1","1","32","10","0","5","370","/0/15/55/30/55/30/25/50/50/60","10","9","77","/3/3/11/6/11/6/5/10/10/12","74","1","/1/0/0/0/0/0/0/0/0/0","7.7000000000000001776","8.2222222222222214327","2580"
"6.6.1","and","2023-09-07","10:37:18","R_1NkpiBgMGTe4hd6","979721755","1","33377","1","1","1","1","32","10","0","5","190","/20/25/0/45/0/25/25/25/0/25","10","7","66","/4/5/16/9/7/5/5/5/5/5","38","3","/0/0/1/0/1/0/0/0/1/0","6.5999999999999996447","5.4285714285714288252","2902"
"6.6.1","win","2023-09-07","13:37:04","R_3ffNUKvS5IDVsLH","979721744","1","90793","1","1","1","1","32","10","0","5","260","/0/45/0/30/35/35/35/0/35/45","10","7","74","/13/9/5/6/7/7/7/4/7/9","52","3","/1/0/1/0/0/0/0/1/0/0","7.4000000000000003553","7.4285714285714288252","5156"
"6.6.1","win","2023-09-07","13:36:49","R_2SJrfAl5h6GFCKU","979721738","1","118610","1","1","1","1","32","10","0","5","335","/110/0/70/65/0/0/0/90/0/0","10","4","133","/22/20/14/13/11/8/12/18/9/6","67","6","/0/1/0/0/1/1/1/0/1/1","13.3000000000000007105","16.75","7605.1666666666669698316"
"6.6.1","mac","2023-09-07","10:37:49","R_1jjQKU5mBsnXO7v","979721751","1","69780","1","1","1","1","32","10","0","5","430","/95/0/60/75/0/55/40/50/55/0","10","7","125","/19/15/12/15/14/11/8/10/11/10","86","3","/0/1/0/0/1/0/0/0/0/1","12.5","12.2857142857142864756","3710"
"6.6.1","win","2023-09-07","13:37:52","R_QnChw8hmwZLtAHv","979721740","1","75932","1","1","1","1","32","10","0","5","250","/0/0/0/55/0/60/65/70/0/0","10","4","94","/5/10/11/11/9/12/13/14/6/3","50","6","/1/1/1/0/1/0/0/0/1/1","9.4000000000000003553","12.5","12466.6666666666660603369"
"6.6.1","win","2023-09-07","12:37:51","R_5chA37yjOv7crVn","979721754","1","106997","1","1","1","1","32","10","0","5","465","/85/0/45/70/0/50/50/55/45/65","10","8","106","/17/5/9/14/8/10/10/11/9/13","93","2","/0/1/0/0/1/0/0/0/0/0","10.5999999999999996447","11.625","4255.8461538461542659206"
"6.6.1","win","2023-09-07","13:38:21","R_b4w4l68SyTiJh7P","979721745","1","101462","1","1","1","1","32","10","0","5","265","/0/70/55/0/0/45/0/0/40/55","10","5","100","/19/14/11/1/9/9/6/12/8/11","53","5","/1/0/0/1/1/0/1/1/0/0","10","10.5999999999999996447","6171.5454545454549588612"
"6.6.1","mac","2023-09-07","10:39:07","R_3MogVAG2sJ4YxL1","979721753","1","83287","1","1","1","1","32","10","0","5","165","/50/0/0/0/30/0/0/20/30/35","10","5","62","/10/3/14/3/6/3/6/4/6/7","33","5","/0/1/1/1/0/1/1/0/0/0","6.2000000000000001776","6.5999999999999996447","7122.7142857142853245023"
"6.6.1","mac","2023-09-07","13:40:40","R_3I43wNW3DgwfWyu","979721768","1","37819","1","1","1","1","32","10","0","5","170","/5/0/45/0/0/25/20/20/25/30","10","7","62","/1/11/9/8/9/5/4/4/5/6","34","3","/0/1/0/1/1/0/0/0/0/0","6.2000000000000001776","4.8571428571428567622","2800"
"6.6.1","win","2023-09-07","12:41:41","R_RaYUx4WAx8mpVMB","979721767","1","61772","1","1","1","1","32","10","0","5","110","/10/10/10/15/15/15/15/0/10/10","10","9","24","/2/2/2/3/3/3/3/2/2/2","22","1","/0/0/0/0/0/0/0/1/0/0","2.3999999999999999112","2.4444444444444446418","8952"
"6.6.1","win","2023-09-07","10:43:37","R_24d5O4wCaTkBhHM","979721757","1","72070","1","1","1","1","32","10","0","5","255","/80/0/0/25/50/0/50/50/0/0","10","5","68","/16/2/8/5/10/4/10/10/2/1","51","5","/0/1/1/0/0/1/0/0/1/1","6.7999999999999998224","10.1999999999999992895","32187"
"6.6.1","mac","2023-09-07","13:40:58","R_2zAttwiJ6MiXcwJ","979721750","1","151022","1","1","1","1","32","10","0","5","345","/0/0/50/55/60/65/50/65/0/0","10","6","87","/2/3/10/11/12/13/10/13/9/4","69","4","/1/1/0/0/0/0/0/0/1/1","8.6999999999999992895","11.5","29338.75"
"6.6.1","win","2023-09-07","13:42:26","R_10DjYJnE7Igyslq","979721765","1","64047","1","1","1","1","32","10","0","5","390","/0/60/65/55/0/50/30/0/60/70","10","7","108","/14/12/13/11/12/10/6/4/12/14","78","3","/1/0/0/0/1/0/0/1/0/0","10.8000000000000007105","11.1428571428571423496","1842.5"
"6.6.1","win","2023-09-07","11:41:59","R_1KwlQk8gZjuB0Lg","979721758","1","93122","1","1","1","1","32","10","0","5","660","/80/70/95/80/80/80/0/95/0/80","10","8","149","/16/14/19/16/16/16/1/19/16/16","132","2","/0/0/0/0/0/0/1/0/1/0","14.9000000000000003553","16.5","3227.3125"
"6.6.1","win","2023-09-07","12:42:04","R_3Pibfr1g5eOWaXX","979721762","1","95553","1","1","1","1","32","10","0","5","400","/80/75/0/0/0/0/90/0/75/80","10","5","129","/16/15/9/18/11/3/18/8/15/16","80","5","/0/0/1/1/1/1/0/1/0/0","12.9000000000000003553","16","2537.9375"
"6.6.1","win","2023-09-07","13:43:11","R_3nPlZ5Q7i4mVAyS","979721771","1","71237","1","1","1","1","32","10","0","5","285","/0/40/0/40/60/80/0/65/0/0","10","5","103","/6/8/12/8/12/16/14/13/1/13","57","5","/1/0/1/0/0/0/1/0/1/1","10.3000000000000007105","11.4000000000000003553","3231.3076923076923776534"
"6.6.1","win","2023-09-07","13:43:07","R_2c2gWBGXQOq70fY","979721763","1","73323","1","1","1","1","32","10","0","5","235","/0/0/10/0/30/15/30/40/50/60","10","7","71","/15/3/2/6/6/3/6/8/10/12","47","3","/1/1/0/1/0/0/0/0/0/0","7.0999999999999996447","6.7142857142857144126","2567.5"
"6.6.1","win","2023-09-07","13:44:26","R_1N7ZBvlvnOsxNch","979721760","1","50696","1","1","1","1","32","10","0","5","205","/0/50/95/0/0/60/0/0/0/0","10","3","106","/9/10/19/17/16/12/6/12/2/3","41","7","/1/0/0/1/1/0/1/1/1/1","10.5999999999999996447","13.6666666666666660745","9740.3333333333339396631"
"6.6.0","win","2023-09-07","11:43:56","R_3nI47XPwsyou6bO","979721769","1","82183","1","1","1","1","32","10","0","5","255","/0/115/0/0/0/65/0/75/0/0","10","3","117","/4/23/17/3/14/13/8/15/2/18","51","7","/1/0/1/1/1/0/1/0/1/1","11.6999999999999992895","17","1948.7777777777778283053"
"6.6.1","win","2023-09-07","13:45:03","R_2TMHgcJoy9gt0EI","979721785","1","45318","1","1","1","1","32","10","0","5","195","/25/15/20/30/25/0/15/20/20/25","10","9","45","/5/3/4/6/5/6/3/4/4/5","39","1","/0/0/0/0/0/1/0/0/0/0","4.5","4.3333333333333330373","4241.8000000000001818989"
"6.6.1","win","2023-09-07","10:45:00","R_1gNKGJYLt2iLA8E","979721764","1","65174","1","1","1","1","32","10","0","5","600","/70/85/80/110/0/85/75/95/0/0","10","7","157","/14/17/16/22/24/17/15/19/9/4","120","3","/0/0/0/0/1/0/0/0/1/1","15.6999999999999992895","17.1428571428571423496","8568"
"6.6.3","and","2023-09-07","10:44:33","R_u50mRjyRLiirEDD","979721766","1","99477","1","1","1","1","32","10","0","5","170","/0/0/0/95/0/0/25/25/25/0","10","4","123","/28/22/15/19/6/13/5/5/5/5","34","6","/1/1/1/0/1/1/0/0/0/1","12.3000000000000007105","8.5","10469"
"6.6.1","win","2023-09-07","12:45:18","R_3k54sdeVpmWvxqT","979721773","1","118154","1","1","1","1","32","10","0","5","370","/80/0/55/0/35/55/55/55/0/35","10","7","90","/16/5/11/7/7/11/11/11/4/7","74","3","/0/1/0/1/0/0/0/0/1/0","9","10.5714285714285711748","9247.285714285713766003"
"6.6.1","win","2023-09-07","13:44:56","R_1rGoCgfIi0p1iW0","979721777","1","139634","1","1","1","1","32","10","0","5","400","/100/0/0/0/70/75/0/80/75/0","10","5","133","/20/17/6/13/14/15/3/16/15/14","80","5","/0/1/1/1/0/0/1/0/0/1","13.3000000000000007105","16","4659.2142857142853245023"
"6.6.1","mac","2023-09-07","12:45:39","R_3npZ0OTDXp204qr","979721761","1","142455","1","1","1","1","32","10","0","5","425","/80/0/65/70/0/75/55/0/80/0","10","6","109","/16/7/13/14/2/15/11/2/16/13","85","4","/0/1/0/0/1/0/0/1/0/1","10.9000000000000003553","14.1666666666666660745","7983.2307692307695106138"
"6.6.1","win","2023-09-07","12:46:29","R_3sBPU939owWUqoU","979721781","1","94849","1","1","1","1","32","10","0","5","120","/20/0/10/20/25/10/10/0/0/25","10","7","30","/4/2/2/4/5/2/2/3/1/5","24","3","/0/1/0/0/0/0/0/1/1/0","3","3.4285714285714283811","8863.2000000000007275958"
"6.6.1","win","2023-09-07","10:47:06","R_UckHsZStW8iPmj7","979721786","1","61384","1","1","1","1","32","10","0","5","365","/0/0/70/0/90/0/0/65/65/75","10","5","121","/6/17/14/4/18/8/13/13/13/15","73","5","/1/1/0/1/0/1/1/0/0/0","12.0999999999999996447","14.5999999999999996447","1693.3333333333332575421"
"6.6.1","win","2023-09-07","12:51:31","R_elkNRijfgGEGmrL","979721775","1","132835","1","1","1","1","32","10","0","5","230","/40/15/20/5/30/30/5/25/30/30","10","10","46","/8/3/4/1/6/6/1/5/6/6","46","0","/0/0/0/0/0/0/0/0/0/0","4.5999999999999996447","4.5999999999999996447","4968.1666666666669698316"
"6.6.1","win","2023-09-07","12:47:27","R_3ELjZWNH83rKL1Y","979721799","1","47074","1","1","1","1","32","10","0","5","500","/115/85/80/0/75/65/0/0/80/0","10","6","147","/23/17/16/22/15/13/2/13/16/10","100","4","/0/0/0/1/0/0/1/1/0/1","14.6999999999999992895","16.6666666666666678509","2849.5"
"6.6.1","win","2023-09-07","12:47:04","R_1Fh0kUzfRTuuEVD","979721776","1","79165","1","1","1","1","32","10","0","5","280","/25/0/30/35/35/35/35/35/50/0","10","8","66","/5/1/6/7/7/7/7/7/10/9","56","2","/0/1/0/0/0/0/0/0/0/1","6.5999999999999996447","7","5225.111111111111313221"
"6.6.1","win","2023-09-07","13:47:44","R_29ofaotuc62hYbb","979721795","1","47757","1","1","1","1","32","10","0","5","150","/15/15/15/15/15/15/15/15/15/15","10","10","30","/3/3/3/3/3/3/3/3/3/3","30","0","/0/0/0/0/0/0/0/0/0/0","3","3","4956"
"6.6.1","win","2023-09-07","11:47:47","R_3mgHEF1LOGJJDZt","979721802","1","45738","1","1","1","1","32","10","0","5","205","/50/0/0/0/25/25/25/0/45/35","10","6","62","/10/1/1/9/5/5/5/10/9/7","41","4","/0/1/1/1/0/0/0/1/0/0","6.2000000000000001776","6.8333333333333330373","3072.2857142857142207504"
"6.6.1","win","2023-09-07","10:47:34","R_28USiK1AZto53CZ","979721779","1","72280","1","1","1","1","32","10","0","5","215","/0/40/50/0/0/40/45/0/0/40","10","5","69","/10/8/10/1/5/8/9/3/7/8","43","5","/1/0/0/1/1/0/0/1/1/0","6.9000000000000003553","8.5999999999999996447","5534.25"
"6.6.1","mac","2023-09-07","13:48:24","R_3KvxvbwgqrsMCiW","979721793","1","40359","1","1","1","1","32","10","0","5","185","/0/0/25/25/30/0/35/35/35/0","10","6","58","/9/1/5/5/6/6/7/7/7/5","37","4","/1/1/0/0/0/1/0/0/0/1","5.7999999999999998224","6.1666666666666669627","3080.1999999999998181011"
